Company,Predicted SDG Component,Percentage Prediction,Keywords
Amber Enterprises India Ltd,GOAL 12: Responsible Consumption and Production,92.5%,
Jubilant Foodworks,GOAL 12: Responsible Consumption and Production,83.1%,"efficiency, renewable, sustainable"
Chalet Hotels Ltd,GOAL 12: Responsible Consumption and Production,49.1%,"sustainable, efficiency"
Vardhman Textiles Ltd,GOAL 8: Decent Work and Economic Growth,61.8%,"wages, employment"
Bajaj Auto,GOAL 12: Responsible Consumption and Production,91.5%,
Bata India Ltd,GOAL 12: Responsible Consumption and Production,61.3%,efficiency
Raymond Ltd,"GOAL 16: Peace, Justice and Strong Institutions",90.9%,governance
TVS Motor Company,GOAL 12: Responsible Consumption and Production,54.5%,sustainable
BOSCH,"GOAL 9: Industry, Innovation and Infrastructure",87.4%,"logistics, technology"
Hero MotoCorp Limited,GOAL 12: Responsible Consumption and Production,83.1%,
Asahi India Glass Ltd,GOAL 10: Reduced Inequality,52.7%,"equity, access"
Mahindra & Mahindra Limited,GOAL 12: Responsible Consumption and Production,97.3%,efficiency
Mahindra Holidays & Resorts India Ltd,GOAL 12: Responsible Consumption and Production,91.6%,
Force Motors Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
Endurance Technologies,GOAL 12: Responsible Consumption and Production,97.2%,sustainable
MRF Limited,GOAL 12: Responsible Consumption and Production,61.5%,
Prestige group,GOAL 12: Responsible Consumption and Production,82.8%,
Lemon Tree Hotels Ltd,GOAL 12: Responsible Consumption and Production,95.8%,"efficiency, recycling"
Elgi,GOAL 11: Sustainable Cities and Communities,23.8%,
Crompton,GOAL 12: Responsible Consumption and Production,98.0%,"efficiency, sustainable"
Welspun Living Ltd,GOAL 12: Responsible Consumption and Production,82.6%,
TATA Motors,GOAL 12: Responsible Consumption and Production,31.8%,sustainable
Westlife Foodworld Ltd,GOAL 12: Responsible Consumption and Production,42.5%,
Maruti Suzuki,GOAL 12: Responsible Consumption and Production,80.7%,"efficiency, sustainable"
TTK Prestige Ltd,GOAL 15: Life on Land,87.8%,
Alok Industries Ltd,GOAL 12: Responsible Consumption and Production,87.8%,
Swan Energy Limited,"GOAL 16: Peace, Justice and Strong Institutions",30.8%,law
Bajaj Electricals Ltd,GOAL 12: Responsible Consumption and Production,98.0%,"sustainable, efficiency"
Uno Minda,GOAL 12: Responsible Consumption and Production,89.0%,sustainable
RattanIndia Enterprises Ltd,GOAL 10: Reduced Inequality,81.4%,"equity, access"
CEAT Ltd,GOAL 12: Responsible Consumption and Production,58.6%,"efficiency, renewable, sustainable, packaging"
EIH Limited,GOAL 12: Responsible Consumption and Production,97.5%,sustainable
Tata Consumer Products,"GOAL 9: Industry, Innovation and Infrastructure",62.7%,"efficiency, manufacturing, logistics, construction"
JBM Auto Limited,GOAL 8: Decent Work and Economic Growth,68.1%,"productivity, enterprise"
Varroc Engineering Ltd,"GOAL 9: Industry, Innovation and Infrastructure",66.0%,"technology, manufacturing"
Trent Limited,"GOAL 9: Industry, Innovation and Infrastructure",49.2%,
Eicher Motors,GOAL 3: Good Health and Well-being,39.0%,treatment
IHCL,GOAL 8: Decent Work and Economic Growth,82.6%,"employment, workforce, innovation, enterprise"
Exide Industries Limited,"GOAL 9: Industry, Innovation and Infrastructure",87.6%,"efficiency, construction"
Thomas Cook (India) Ltd,GOAL 12: Responsible Consumption and Production,52.5%,
Minda Corporation Ltd,GOAL 12: Responsible Consumption and Production,95.9%,
KPR Mill Limited,GOAL 10: Reduced Inequality,84.0%,
Arvind Ltd,GOAL 8: Decent Work and Economic Growth,41.5%,"employment, enterprise"
Sundram Fasteners limited,GOAL 12: Responsible Consumption and Production,37.8%,
