Company,Predicted SDG Component,Percentage Prediction,Keywords
Solar industries India Limited,GOAL 7: Affordable and Clean Energy,52.1%,solar
Vedanta,GOAL 2: Zero Hunger,30.8%,"sustainability, plant, malnutrition"
Indigo,GOAL 12: Responsible Consumption and Production,90.9%,
Kansai Nerolac Paints,GOAL 8: Decent Work and Economic Growth,64.9%,"innovation, productivity"
Welspun Corp Ltd,GOAL 12: Responsible Consumption and Production,32.3%,"sustainable, efficiency, renewable, recycling"
Ambuja Cement,GOAL 8: Decent Work and Economic Growth,72.4%,innovation
Fine Organic Industries Ltd,GOAL 12: Responsible Consumption and Production,98.5%,sustainable
JK Tyre & Industries Ltd,GOAL 12: Responsible Consumption and Production,84.7%,sustainable
NMDC Limited,GOAL 12: Responsible Consumption and Production,97.9%,"efficiency, sustainable"
ACC Limited,GOAL 12: Responsible Consumption and Production,83.5%,"efficiency, sustainable"
Navin Fluorine International Ltd,GOAL 12: Responsible Consumption and Production,94.4%,"reuse, recycling, sustainable, packaging, efficiency, renewable"
Berger Paints India Limited,"GOAL 9: Industry, Innovation and Infrastructure",75.8%,"manufacturing, construction, technology"
Sandur Manganese & Iron Ores Ltd,GOAL 12: Responsible Consumption and Production,68.4%,"sustainable, efficiency"
Century Textiles and Industries Limited,GOAL 12: Responsible Consumption and Production,93.4%,sustainable
Pidilite Industries,GOAL 12: Responsible Consumption and Production,45.3%,"efficiency, sustainable"
Star Cement Ltd,GOAL 12: Responsible Consumption and Production,45.5%,
MOIL Ltd,GOAL 12: Responsible Consumption and Production,75.1%,
Usha Martin Ltd,GOAL 8: Decent Work and Economic Growth,73.8%,"employment, productivity"
Jindal Saw Ltd,GOAL 5: Gender Equality,25.0%,equity
Deepak Nitrite Limited,"GOAL 9: Industry, Innovation and Infrastructure",41.1%,"efficiency, manufacturing, research, technology, automation"
Jai Balaji Industries Ltd,GOAL 13: Climate Action,68.8%,policy
EID Parry (India) Ltd,GOAL 12: Responsible Consumption and Production,82.1%,"sustainable, efficiency"
Tata Chemicals,GOAL 12: Responsible Consumption and Production,97.8%,"sustainable, renewable"
GNFC,GOAL 12: Responsible Consumption and Production,81.6%,efficiency
Shyam Metalics & Energy Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
Jindal Stainless,GOAL 12: Responsible Consumption and Production,84.6%,
Steel Authority of India Limited,"GOAL 16: Peace, Justice and Strong Institutions",94.8%,"law, governance"
Linde,"GOAL 9: Industry, Innovation and Infrastructure",40.4%,"manufacturing, technology, research, construction"
BASF India,GOAL 12: Responsible Consumption and Production,91.1%,efficiency
Vinati Organics Ltd,GOAL 12: Responsible Consumption and Production,99.1%,
Grasim Industries,GOAL 12: Responsible Consumption and Production,85.3%,"sustainable, biodegradable, renewable, recycling"
Dalmia Bharat Limited,GOAL 12: Responsible Consumption and Production,99.0%,"sustainable, reuse, renewable"
Aarti Industries Limited,GOAL 12: Responsible Consumption and Production,90.9%,sustainable
Century Plyboards (India) Ltd,GOAL 8: Decent Work and Economic Growth,78.4%,"employment, workforce, enterprise"
Elantas Beck India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",91.0%,"research, technology, manufacturing"
Galaxy Surfactants Ltd,GOAL 14: Life Below Water,64.6%,
Birla Corporation Ltd,GOAL 8: Decent Work and Economic Growth,43.1%,
UPL,GOAL 8: Decent Work and Economic Growth,36.2%,"innovation, prosperity, productivity, enterprise, employment"
Coromandel,GOAL 12: Responsible Consumption and Production,98.5%,"sustainable, efficiency"
Himadri Speciality Chemical Ltd,GOAL 12: Responsible Consumption and Production,91.0%,efficiency
Supreme Petrochem Ltd,GOAL 5: Gender Equality,24.4%,
PCBL,GOAL 12: Responsible Consumption and Production,57.7%,"efficiency, sustainable, recycling"
