Company,Predicted SDG Component,Percentage Prediction,Keywords
Vodafone Idea Limited,GOAL 12: Responsible Consumption and Production,95.0%,"efficiency, sustainable"
Affle India Ltd,GOAL 8: Decent Work and Economic Growth,41.1%,employment
Zee,GOAL 12: Responsible Consumption and Production,64.8%,efficiency
Indiamart Intermesh Ltd,GOAL 12: Responsible Consumption and Production,90.9%,sustainable
Tata Consultancy Services,"GOAL 9: Industry, Innovation and Infrastructure",70.0%,"technology, research, startups, manufacturing, automation, efficiency"
Saregama India Ltd,GOAL 12: Responsible Consumption and Production,19.3%,
Airtel,"GOAL 16: Peace, Justice and Strong Institutions",88.5%,"governance, law, accountability"
PVR Inox Ltd,GOAL 12: Responsible Consumption and Production,98.2%,sustainable
Tata Communications,"GOAL 9: Industry, Innovation and Infrastructure",98.4%,"efficiency, technology"
Sun TV Network,GOAL 12: Responsible Consumption and Production,45.4%,"efficiency, sustainable"
Network 18 Media & Investments Ltd,"GOAL 9: Industry, Innovation and Infrastructure",62.4%,research
Info Edge India Ltd,GOAL 12: Responsible Consumption and Production,98.6%,sustainable
Tata Teleservices (Maharashtra) Ltd,GOAL 12: Responsible Consumption and Production,71.8%,"renewable, recycling, sustainable"
