Company,Predicted SDG Component,Percentage Prediction,Keywords
Chennai Petroleum Corporation Ltd,GOAL 12: Responsible Consumption and Production,52.3%,recycling
Reliance,"GOAL 9: Industry, Innovation and Infrastructure",95.0%,"manufacturing, technology, research, efficiency"
Aban,GOAL 12: Responsible Consumption and Production,59.3%,
Gujarat Fluorochemicals Limited,GOAL 8: Decent Work and Economic Growth,34.9%,
Reliance Power Ltd,"GOAL 9: Industry, Innovation and Infrastructure",63.1%,
HPCL,GOAL 7: Affordable and Clean Energy,95.5%,
IndianOil,GOAL 7: Affordable and Clean Energy,84.3%,"renewable, sustainable"
ONGC,GOAL 13: Climate Action,38.4%,policy
Adani renewables,GOAL 7: Affordable and Clean Energy,46.2%,"renewable, sustainable, biomass, solar, efficiency"
petronet LNG Limited,"GOAL 9: Industry, Innovation and Infrastructure",88.9%,"logistics, efficiency, research"
Gujarat Mineral Development Corporation Ltd,GOAL 13: Climate Action,64.8%,policy
BPCL,GOAL 12: Responsible Consumption and Production,96.8%,sustainable
Castrol,"GOAL 9: Industry, Innovation and Infrastructure",59.0%,"efficiency, technology, manufacturing"
MRPL,"GOAL 16: Peace, Justice and Strong Institutions",97.5%,governance
Coal India,GOAL 5: Gender Equality,49.7%,equity
