Company,Predicted SDG Component,Percentage Prediction,Keywords
ERIS Lifesciences Ltd,"GOAL 9: Industry, Innovation and Infrastructure",87.0%,"manufacturing, technology, efficiency"
Lupin,GOAL 8: Decent Work and Economic Growth,73.2%,"employment, innovation"
Metropolis Healthcare Ltd,GOAL 12: Responsible Consumption and Production,73.7%,efficiency
Ipca Laboratories Limited,GOAL 12: Responsible Consumption and Production,40.8%,
Caplin Point Laboratories Ltd,GOAL 12: Responsible Consumption and Production,97.2%,"efficiency, renewable"
Narayana Hrudayalaya Ltd,GOAL 8: Decent Work and Economic Growth,54.4%,productivity
Concord Biotech Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
Apollo Hospitals,"GOAL 9: Industry, Innovation and Infrastructure",80.5%,"technology, manufacturing, research, efficiency"
Suven Pharmaceuticals Ltd,GOAL 12: Responsible Consumption and Production,93.6%,
Torrent Pharma,GOAL 13: Climate Action,78.8%,"resilience, policy"
Abbott India limited,"GOAL 16: Peace, Justice and Strong Institutions",59.5%,"fairness, governance, transparency, accountability, law"
Sanofi India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",97.7%,"manufacturing, research"
Dr Reddy,"GOAL 9: Industry, Innovation and Infrastructure",78.7%,"technology, research, manufacturing, logistics, digitalization"
Divi's Laboratories Limited,GOAL 12: Responsible Consumption and Production,96.2%,sustainable
Max Healthcare,"GOAL 9: Industry, Innovation and Infrastructure",98.9%,"technology, research, efficiency"
Aster DM Healthcare Ltd,GOAL 12: Responsible Consumption and Production,98.3%,"sustainable, renewable, efficiency"
Astrazeneca Pharma India Ltd,GOAL 12: Responsible Consumption and Production,95.0%,sustainable
Jubilant Pharmova Ltd,GOAL 8: Decent Work and Economic Growth,78.2%,"productivity, enterprise"
J.B. Chemicals & Pharmaceuticals Limited,GOAL 3: Good Health and Well-being,89.1%,"healthcare, treatment"
Strides Pharma Science Ltd,"GOAL 9: Industry, Innovation and Infrastructure",88.8%,"manufacturing, logistics, efficiency, technology"
Dr Lal Pathlabs,GOAL 3: Good Health and Well-being,99.6%,"healthcare, hospitals, diseases, morbidity"
Zydus,GOAL 5: Gender Equality,97.6%,"rights, empowerment, equity, women"
Cipla,GOAL 8: Decent Work and Economic Growth,59.0%,"enterprise, employment, innovation, workforce, labor"
Laurus Labs,"GOAL 9: Industry, Innovation and Infrastructure",75.2%,manufacturing
GlaxoSmithKline Pharmaceuticals,"GOAL 9: Industry, Innovation and Infrastructure",96.8%,"manufacturing, technology, research, efficiency"
Aurobindo,"GOAL 9: Industry, Innovation and Infrastructure",37.4%,"research, manufacturing, construction"
Ajanta Pharma Limited,"GOAL 16: Peace, Justice and Strong Institutions",93.6%,"governance, fairness, transparency, accountability"
Poly Medicure Ltd,GOAL 12: Responsible Consumption and Production,95.0%,
Pfizer,GOAL 12: Responsible Consumption and Production,88.8%,"efficiency, sustainable, recycling"
Alembic Pharmaceuticals Ltd,GOAL 3: Good Health and Well-being,72.3%,prevention
Granules India Ltd,GOAL 12: Responsible Consumption and Production,19.6%,"efficiency, packaging"
Sun Pharma,GOAL 12: Responsible Consumption and Production,95.5%,"efficiency, sustainable"
