Company,Predicted SDG Component,Percentage Prediction,Keywords
Cochin Shipyard Limited,"GOAL 9: Industry, Innovation and Infrastructure",39.7%,"logistics, technology, efficiency, construction"
Lakshmi Machine Works Ltd,GOAL 12: Responsible Consumption and Production,77.0%,"sustainable, efficiency"
Solar industries India Limited,GOAL 7: Affordable and Clean Energy,52.1%,solar
Techno Electric & Engineering Company Ltd,GOAL 12: Responsible Consumption and Production,49.5%,
Blue Dart Express Ltd,"GOAL 9: Industry, Innovation and Infrastructure",79.4%,"technology, logistics, research, automation, construction, manufacturing, efficiency"
KSB Ltd,"GOAL 9: Industry, Innovation and Infrastructure",55.1%,
Escorts Limited,GOAL 12: Responsible Consumption and Production,91.5%,"efficiency, sustainable"
Finolex Industries,GOAL 12: Responsible Consumption and Production,41.4%,sustainable
Polycab,GOAL 12: Responsible Consumption and Production,59.6%,"sustainable, efficiency"
BEML,"GOAL 9: Industry, Innovation and Infrastructure",48.0%,"manufacturing, construction, technology"
Bharat Heavy Electricals Limited,GOAL 12: Responsible Consumption and Production,90.3%,"sustainable, efficiency"
Cera Sanitaryware Ltd,GOAL 12: Responsible Consumption and Production,92.1%,packaging
Voltamp Transformers Ltd,"GOAL 9: Industry, Innovation and Infrastructure",87.3%,"manufacturing, efficiency"
Ingersoll-Rand (India) Ltd,GOAL 8: Decent Work and Economic Growth,61.3%,
Concor,GOAL 12: Responsible Consumption and Production,94.2%,sustainable
Kirloskar Ferrous Industries Ltd,GOAL 12: Responsible Consumption and Production,31.6%,
Great Eastern Shipping Company Ltd,GOAL 13: Climate Action,45.0%,"policy, emissions"
Bharat Electronics Limited,GOAL 12: Responsible Consumption and Production,86.0%,
Finolex cables Limited,"GOAL 9: Industry, Innovation and Infrastructure",97.9%,"technology, efficiency, automation"
Suzlon Energy Ltd,"GOAL 16: Peace, Justice and Strong Institutions",96.7%,governance
Jaiprakash Power Ventures Ltd,"GOAL 9: Industry, Innovation and Infrastructure",64.5%,"technology, research, construction, manufacturing, efficiency"
3M India Limited,GOAL 12: Responsible Consumption and Production,96.5%,"sustainable, packaging, efficiency"
AIA Engineering Limited,GOAL 7: Affordable and Clean Energy,98.1%,sustainable
Kirloskar Brothers Ltd,GOAL 5: Gender Equality,86.2%,"women, rights, advocacy, equity"
CG Power and Industrial Solutions Limited,GOAL 12: Responsible Consumption and Production,92.7%,"efficiency, sustainable"
Triveni Turbine Ltd,GOAL 12: Responsible Consumption and Production,97.7%,efficiency
RHI Magnesita India Ltd,GOAL 12: Responsible Consumption and Production,79.0%,sustainable
Titagarh Rail Systems Ltd,"GOAL 9: Industry, Innovation and Infrastructure",82.2%,
Inox Wind Ltd,GOAL 12: Responsible Consumption and Production,96.2%,
Elecon Engineering Company Ltd,GOAL 7: Affordable and Clean Energy,83.0%,"sustainable, wind"
PNC Infratech Ltd,GOAL 8: Decent Work and Economic Growth,61.1%,
Jupiter Wagons,GOAL 12: Responsible Consumption and Production,91.8%,efficiency
KNR Constructions Ltd,GOAL 5: Gender Equality,90.5%,"equity, women, rights"
Rail Vikas Nigam Limited,GOAL 12: Responsible Consumption and Production,94.5%,
Siemens,"GOAL 9: Industry, Innovation and Infrastructure",66.3%,"manufacturing, efficiency, technology"
GMR Infrastructure Limited,GOAL 7: Affordable and Clean Energy,71.5%,"renewable, efficiency"
APAR Industries Limited,GOAL 12: Responsible Consumption and Production,96.4%,efficiency
NCC Limited,GOAL 12: Responsible Consumption and Production,54.8%,
GE T&D India Limited,GOAL 7: Affordable and Clean Energy,51.2%,"wind, hydroelectric, solar, efficiency, sustainable, renewable"
Indian Railway Catering and tourism,GOAL 12: Responsible Consumption and Production,97.1%,
Vesuvius India Ltd,GOAL 12: Responsible Consumption and Production,55.5%,
Praj Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",83.9%,"manufacturing, technology"
ISGEC Heavy Engineering Ltd,GOAL 8: Decent Work and Economic Growth,72.0%,"employment, wages"
Kirloskar Oil Engines,"GOAL 9: Industry, Innovation and Infrastructure",97.7%,"digitalization, technology, manufacturing, research"
Thermax,"GOAL 9: Industry, Innovation and Infrastructure",90.2%,"technology, research, construction, manufacturing"
ACE,GOAL 12: Responsible Consumption and Production,73.2%,
IRCON,"GOAL 9: Industry, Innovation and Infrastructure",49.2%,"construction, technology"
Garden Reach Shipbuilders & Engineers Ltd,GOAL 14: Life Below Water,56.6%,
Carborundum Universal Limited,GOAL 8: Decent Work and Economic Growth,58.0%,
Gravita India Ltd,GOAL 12: Responsible Consumption and Production,51.5%,"efficiency, recycling, sustainable"
Esab India Ltd,GOAL 12: Responsible Consumption and Production,57.9%,
Quess Corp Ltd,"GOAL 16: Peace, Justice and Strong Institutions",99.3%,"governance, transparency, accountability, corruption"
CRISIL,"GOAL 16: Peace, Justice and Strong Institutions",76.1%,"governance, transparency, law, accountability"
Honeywell,GOAL 8: Decent Work and Economic Growth,73.8%,"productivity, enterprise, innovation"
V-Guard Industries Ltd,GOAL 3: Good Health and Well-being,80.6%,prevention
Adani Ports and Logistics,"GOAL 9: Industry, Innovation and Infrastructure",79.0%,"logistics, construction, manufacturing, technology"
Nava Ltd,GOAL 8: Decent Work and Economic Growth,82.1%,"employment, productivity"
Larsen & Toubro,"GOAL 9: Industry, Innovation and Infrastructure",79.0%,"construction, technology, efficiency"
Transformers & Rectifiers India Ltd,GOAL 12: Responsible Consumption and Production,76.9%,
Ramkrishna Forgings Ltd,GOAL 8: Decent Work and Economic Growth,64.7%,"workforce, employment"
Shipping Corporation of India Ltd,GOAL 12: Responsible Consumption and Production,97.4%,"recycling, efficiency"
Astral Limited,GOAL 8: Decent Work and Economic Growth,34.3%,innovation
Kajaria,GOAL 12: Responsible Consumption and Production,97.0%,
KEI Industries,GOAL 12: Responsible Consumption and Production,88.7%,renewable
Supreme,GOAL 8: Decent Work and Economic Growth,70.0%,employment
Genus Power Infrastructures,GOAL 12: Responsible Consumption and Production,94.0%,
SKF India Limited,GOAL 12: Responsible Consumption and Production,98.2%,"sustainable, renewable"
Engineers India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",75.5%,"research, technology, construction, efficiency"
Kalpataru Projects,GOAL 12: Responsible Consumption and Production,94.5%,"sustainable, renewable"
Graphite India Ltd,GOAL 12: Responsible Consumption and Production,58.6%,sustainable
Grindwell Norton,GOAL 12: Responsible Consumption and Production,76.9%,efficiency
IRB,GOAL 12: Responsible Consumption and Production,96.3%,
Voltas Limited,GOAL 12: Responsible Consumption and Production,94.7%,efficiency
HBL Power Systems Ltd,GOAL 12: Responsible Consumption and Production,40.5%,
Ashok Leyland,GOAL 3: Good Health and Well-being,97.2%,"healthcare, prevention"
H.G. Infra Engineering Ltd,GOAL 3: Good Health and Well-being,47.9%,prevention
BLS International Services Ltd,GOAL 12: Responsible Consumption and Production,47.2%,efficiency
Bharat Dynamics Limited,"GOAL 9: Industry, Innovation and Infrastructure",71.7%,"technology, research"
Havells,GOAL 12: Responsible Consumption and Production,96.8%,
Rites Ltd,"GOAL 9: Industry, Innovation and Infrastructure",47.5%,"construction, technology"
Cyient,GOAL 12: Responsible Consumption and Production,95.0%,"sustainable, efficiency"
Olectra Greentech Ltd,GOAL 12: Responsible Consumption and Production,39.1%,
