Company,Predicted SDG Component,Percentage Prediction,Keywords
Godrej Properties,GOAL 8: Decent Work and Economic Growth,29.7%,"labor, employment, enterprise"
The Phoenix Mills Limited,GOAL 12: Responsible Consumption and Production,97.3%,"sustainable, efficiency, recycling"
Valor Estate Ltd,GOAL 3: Good Health and Well-being,92.8%,prevention
Ganesh Housing Corporation Ltd,GOAL 12: Responsible Consumption and Production,92.4%,
DLF Limited,GOAL 1: No Poverty,67.4%,"economic, welfare"
Oberoi Realty,GOAL 3: Good Health and Well-being,85.2%,vaccination
Brigade Enterprises Limited,GOAL 10: Reduced Inequality,29.6%,"equity, access"
GRIL,GOAL 12: Responsible Consumption and Production,73.7%,efficiency
Mahindra Lifespace Developers Ltd,GOAL 12: Responsible Consumption and Production,94.7%,efficiency
Puravankara Ltd,GOAL 12: Responsible Consumption and Production,90.3%,
Anant Raj Ltd,GOAL 12: Responsible Consumption and Production,52.0%,
