Company,Predicted SDG Component,Percentage Prediction,Keywords
ABB India Limited,GOAL 8: Decent Work and Economic Growth,76.0%,
KFin Technologies Ltd,GOAL 12: Responsible Consumption and Production,88.7%,
Happiest Minds,"GOAL 9: Industry, Innovation and Infrastructure",78.8%,"automation, technology"
KPIT Technologies Limited,GOAL 8: Decent Work and Economic Growth,44.1%,"enterprise, workforce, productivity, innovation"
Sonata Software Ltd,GOAL 12: Responsible Consumption and Production,96.0%,
Tech Mahindra,"GOAL 9: Industry, Innovation and Infrastructure",64.9%,"technology, logistics, efficiency"
Zen Technologies Ltd,"GOAL 9: Industry, Innovation and Infrastructure",58.4%,"research, patents, manufacturing, technology, efficiency"
Dixon Technologies India Limited,"GOAL 9: Industry, Innovation and Infrastructure",71.1%,"manufacturing, automation, logistics, technology, research"
HCL Tech,GOAL 12: Responsible Consumption and Production,42.5%,efficiency
Newgen Software Technologies Ltd,GOAL 12: Responsible Consumption and Production,63.2%,efficiency
UltraTech Cement,"GOAL 9: Industry, Innovation and Infrastructure",35.1%,"construction, manufacturing, efficiency, technology"
Coforge,GOAL 12: Responsible Consumption and Production,94.6%,
Mphasis,GOAL 8: Decent Work and Economic Growth,97.7%,"employment, innovation, enterprise"
Firstsource Solutions Ltd,GOAL 13: Climate Action,27.6%,policy
Birlasoft Ltd,GOAL 12: Responsible Consumption and Production,66.4%,"sustainable, efficiency"
Tanla Platforms Ltd,GOAL 12: Responsible Consumption and Production,86.4%,
Tata Elxsi Limited,"GOAL 16: Peace, Justice and Strong Institutions",94.1%,governance
L&T technology services,GOAL 12: Responsible Consumption and Production,96.6%,efficiency
Astra Microwave Products Ltd,GOAL 12: Responsible Consumption and Production,98.5%,efficiency
Zensar Technologies Ltd,"GOAL 9: Industry, Innovation and Infrastructure",98.6%,"manufacturing, logistics, technology"
Oracle,GOAL 12: Responsible Consumption and Production,41.1%,
Sterling & Wilson Renewable Energy Ltd,GOAL 13: Climate Action,56.7%,policy
WIPRO,GOAL 5: Gender Equality,80.8%,"equity, empowerment, rights, advocacy"
Intellect Design Arena Ltd,GOAL 8: Decent Work and Economic Growth,50.7%,
eClerx Services Ltd,GOAL 8: Decent Work and Economic Growth,44.8%,workforce
Infosys,"GOAL 9: Industry, Innovation and Infrastructure",99.6%,"technology, efficiency, logistics"
Computer Age Management Services Ltd,GOAL 12: Responsible Consumption and Production,70.9%,sustainable
Persistent,"GOAL 9: Industry, Innovation and Infrastructure",67.1%,"technology, research, logistics"
Redington Ltd,GOAL 12: Responsible Consumption and Production,96.7%,
Infibeam Avenues Ltd,GOAL 3: Good Health and Well-being,99.0%,"healthcare, prevention"
