Company,Predicted SDG Component,Percentage Prediction,Keywords
IDFC First Bank,"GOAL 9: Industry, Innovation and Infrastructure",52.8%,"technology, automation, manufacturing"
Manappuram Finance Ltd,GOAL 12: Responsible Consumption and Production,98.4%,efficiency
SBI,GOAL 12: Responsible Consumption and Production,31.8%,efficiency
Nippon Life India Asset Management Limited,GOAL 12: Responsible Consumption and Production,94.6%,sustainable
ICICI Securities,GOAL 12: Responsible Consumption and Production,87.6%,
ICICI Lombard,GOAL 12: Responsible Consumption and Production,86.3%,"efficiency, renewable"
Shriram Transport Finance,GOAL 12: Responsible Consumption and Production,95.5%,efficiency
Union Bank of India,GOAL 11: Sustainable Cities and Communities,38.5%,
General Insurance Corporation of India,GOAL 11: Sustainable Cities and Communities,15.4%,
Chola Financial Holdings,"GOAL 9: Industry, Innovation and Infrastructure",63.7%,"manufacturing, technology"
The Muthoot Group,GOAL 3: Good Health and Well-being,99.6%,"vaccination, healthcare, hospitals, prevention"
Aditya Birla Capital,GOAL 8: Decent Work and Economic Growth,79.0%,"innovation, productivity"
Bajaj Finance,GOAL 8: Decent Work and Economic Growth,33.0%,enterprise
Can Fin Homes Ltd,GOAL 12: Responsible Consumption and Production,98.6%,sustainable
LIC Housing Finance Limited,"GOAL 9: Industry, Innovation and Infrastructure",91.4%,"efficiency, technology, construction"
REC Limited,"GOAL 9: Industry, Innovation and Infrastructure",89.6%,"efficiency, construction, manufacturing, research, technology"
PNB,"GOAL 9: Industry, Innovation and Infrastructure",93.6%,"technology, digitalization"
CreditAccess,GOAL 12: Responsible Consumption and Production,95.7%,
Bank of Baroda,GOAL 12: Responsible Consumption and Production,52.3%,"efficiency, sustainable"
Bank of Maharashtra,GOAL 8: Decent Work and Economic Growth,64.7%,
Jammu and Kashmir Bank Ltd,GOAL 12: Responsible Consumption and Production,72.2%,"efficiency, sustainable"
AAVAS Financiers Ltd,"GOAL 9: Industry, Innovation and Infrastructure",84.8%,"technology, efficiency"
HDFC Ltd,GOAL 12: Responsible Consumption and Production,91.8%,efficiency
City Union Bank Ltd,GOAL 8: Decent Work and Economic Growth,35.0%,
Kotak,GOAL 8: Decent Work and Economic Growth,59.4%,"labor, employment, productivity, innovation, enterprise"
UTI Asset Management Company Ltd,GOAL 8: Decent Work and Economic Growth,63.8%,
Central Bank of India,GOAL 12: Responsible Consumption and Production,57.6%,efficiency
ICICI Prudential,GOAL 8: Decent Work and Economic Growth,55.9%,"innovation, workforce, employment, wages"
Max Financial Services,GOAL 12: Responsible Consumption and Production,98.2%,sustainable
AU Small Finance Bank,GOAL 8: Decent Work and Economic Growth,55.8%,"innovation, employment, enterprise"
Motilal Oswal,GOAL 8: Decent Work and Economic Growth,47.4%,"productivity, enterprise, employment"
Federal bank,GOAL 10: Reduced Inequality,24.0%,"equity, privilege"
SBI Card,GOAL 12: Responsible Consumption and Production,30.2%,sustainable
Baja Finserv,GOAL 12: Responsible Consumption and Production,98.2%,sustainable
Chola,GOAL 12: Responsible Consumption and Production,48.9%,
IndusInd Bank,GOAL 12: Responsible Consumption and Production,55.2%,efficiency
Indiabulls,GOAL 12: Responsible Consumption and Production,74.2%,"sustainable, packaging"
Bank of India,GOAL 12: Responsible Consumption and Production,90.1%,
UCO Bank,GOAL 8: Decent Work and Economic Growth,74.8%,
Axis,GOAL 12: Responsible Consumption and Production,60.1%,sustainable
IDBI Bank,GOAL 12: Responsible Consumption and Production,82.3%,
Tube investments of India Limited,GOAL 12: Responsible Consumption and Production,91.3%,"sustainable, efficiency"
SBI Life,GOAL 8: Decent Work and Economic Growth,73.3%,"enterprise, workforce, innovation, employment"
Bengal & Assam Company Ltd,GOAL 12: Responsible Consumption and Production,98.2%,efficiency
Hudco,GOAL 1: No Poverty,38.1%,"economic, welfare"
New India Assurance Company Limited,GOAL 12: Responsible Consumption and Production,53.8%,
ICICI Bank,GOAL 8: Decent Work and Economic Growth,44.8%,"employment, enterprise, innovation, workforce"
Alfred Herbet,GOAL 12: Responsible Consumption and Production,95.3%,
RBL Bank Ltd,GOAL 8: Decent Work and Economic Growth,36.2%,"innovation, workforce, enterprise, employment"
Punjab & Sind Bank,GOAL 7: Affordable and Clean Energy,85.8%,
L&T Financial Services,GOAL 8: Decent Work and Economic Growth,60.8%,employment
Indian Overseas Bank,GOAL 8: Decent Work and Economic Growth,30.9%,employment
Indian Energy Exchange Ltd,"GOAL 9: Industry, Innovation and Infrastructure",48.5%,"technology, research"
HDFC Life,GOAL 12: Responsible Consumption and Production,53.7%,sustainable
Canara Bank,GOAL 12: Responsible Consumption and Production,75.9%,"sustainable, efficiency"
HDFC Bank,GOAL 10: Reduced Inequality,84.1%,"equity, access"
Cummins India Limited,GOAL 12: Responsible Consumption and Production,87.5%,
Baja Holdings & Investment Limited,GOAL 12: Responsible Consumption and Production,97.9%,"efficiency, sustainable"
HDFC AMC,"GOAL 9: Industry, Innovation and Infrastructure",78.5%,
Indian Bank,GOAL 12: Responsible Consumption and Production,94.5%,renewable
Power Finance Corporation Limited,GOAL 12: Responsible Consumption and Production,68.9%,"renewable, recycling"
Yes,GOAL 12: Responsible Consumption and Production,51.1%,"sustainable, renewable"
PNB Housing,"GOAL 16: Peace, Justice and Strong Institutions",65.9%,"governance, transparency"
Ujjivan Small Finance Bank Ltd,GOAL 13: Climate Action,34.1%,policy
Mahindra Finance,GOAL 12: Responsible Consumption and Production,93.2%,
Capri Global Capital Ltd,GOAL 12: Responsible Consumption and Production,83.1%,
