Company,Predicted SDG Component,Percentage Prediction,Keywords
Godfrey Phillips,GOAL 8: Decent Work and Economic Growth,33.8%,employment
Avenue Supermarts,GOAL 12: Responsible Consumption and Production,98.1%,
Varun Beverages Limited,GOAL 12: Responsible Consumption and Production,95.0%,"efficiency, sustainable, renewable"
Emami Limited,GOAL 3: Good Health and Well-being,99.1%,healthcare
L T Foods Ltd,GOAL 2: Zero Hunger,62.3%,"sustainability, plant"
DCM Shriram Ltd,GOAL 12: Responsible Consumption and Production,96.6%,efficiency
Nestle India,GOAL 12: Responsible Consumption and Production,85.4%,"efficiency, packaging, sustainable"
ITC,GOAL 12: Responsible Consumption and Production,95.6%,"sustainable, packaging"
Avanti Feeds Ltd,GOAL 12: Responsible Consumption and Production,96.9%,
HAP,GOAL 2: Zero Hunger,95.7%,"sustainability, plant"
Dabur India Ltd,GOAL 12: Responsible Consumption and Production,99.1%,
BBTC,GOAL 8: Decent Work and Economic Growth,56.7%,"enterprise, employment, wages"
Godrej Agrovet Ltd,GOAL 2: Zero Hunger,95.7%,"sustainability, plant"
United Spirits,GOAL 12: Responsible Consumption and Production,88.2%,"sustainable, efficiency"
Britannia,"GOAL 9: Industry, Innovation and Infrastructure",56.0%,"efficiency, manufacturing"
HUL,GOAL 12: Responsible Consumption and Production,42.1%,"sustainable, packaging, efficiency"
Shree Renuka Sugars Ltd,GOAL 12: Responsible Consumption and Production,74.5%,
Colgate-Palmolive India Limited,GOAL 12: Responsible Consumption and Production,97.7%,efficiency
Jyothy Labs Ltd,GOAL 12: Responsible Consumption and Production,93.0%,
Radico,GOAL 10: Reduced Inequality,32.9%,"equity, access"
Patanjali Foods,GOAL 12: Responsible Consumption and Production,83.5%,"sustainable, renewable, efficiency"
Gillette India,GOAL 12: Responsible Consumption and Production,97.1%,"packaging, sustainable"
Godrej Consumer Products,GOAL 12: Responsible Consumption and Production,96.1%,renewable
P&G,GOAL 12: Responsible Consumption and Production,96.2%,"sustainable, packaging"
