Company,Predicted SDG Component,Percentage Prediction,Keywords
RattanIndia Power Ltd,"GOAL 9: Industry, Innovation and Infrastructure",92.9%,construction
Adani Gas,GOAL 10: Reduced Inequality,25.6%,
Tata Power,GOAL 12: Responsible Consumption and Production,71.1%,"sustainable, renewable, efficiency"
Mahanagar Gas Ltd,"GOAL 9: Industry, Innovation and Infrastructure",59.8%,"technology, logistics"
NTPC,"GOAL 16: Peace, Justice and Strong Institutions",72.9%,governance
Adani Transmission,GOAL 7: Affordable and Clean Energy,99.1%,"grids, solar, renewable"
SJVN Limited,GOAL 12: Responsible Consumption and Production,98.6%,"renewable, sustainable"
KPI Green Energy Ltd,GOAL 7: Affordable and Clean Energy,99.2%,"renewable, sustainable, wind, solar"
JSW Energy,GOAL 15: Life on Land,41.9%,
Gujarat State Petronet Ltd,GOAL 12: Responsible Consumption and Production,96.8%,sustainable
Power Grid,GOAL 12: Responsible Consumption and Production,56.9%,"sustainable, renewable, efficiency"
GAIL,GOAL 7: Affordable and Clean Energy,90.2%,"sustainable, wind, solar, renewable, conservation, biomass, efficiency"
CESC Ltd,GOAL 12: Responsible Consumption and Production,98.0%,"sustainable, recycling"
Adani power,GOAL 7: Affordable and Clean Energy,97.1%,"efficiency, solar, electrification"
IndiGrid,"GOAL 9: Industry, Innovation and Infrastructure",69.1%,technology
Indraprastha Gas Limited,GOAL 8: Decent Work and Economic Growth,29.1%,employment
Adani Energy,GOAL 10: Reduced Inequality,32.3%,"equity, access"
Gujarat Gas,GOAL 12: Responsible Consumption and Production,95.0%,sustainable
NHPC,GOAL 12: Responsible Consumption and Production,96.4%,"sustainable, renewable"
