Company,Predicted SDG Component,Percentage Prediction,Keywords
Master Drilling,GOAL 7: Affordable and Clean Energy,94.30%,efficiency
Adcorp,GOAL 7: Affordable and Clean Energy,97.60%,sustainable
KAP,"GOAL 9: Industry, Innovation and Infrastructure",29.20%,
Workfore,GOAL 12: Responsible Consumption and Production,97.60%,
Frontier Transport Holdings,GOAL 12: Responsible Consumption and Production,51.20%,
Omnia,GOAL 12: Responsible Consumption and Production,78.00%,sustainable
Aveng,GOAL 12: Responsible Consumption and Production,93.30%,
WBHO,GOAL 12: Responsible Consumption and Production,87.70%,
Metrofile Group,GOAL 11: Sustainable Cities and Communities,15.40%,
CAS,GOAL 12: Responsible Consumption and Production,72.40%,sustainable
South Ocean Holdings,GOAL 8: Decent Work and Economic Growth,66.50%,
DRA Global,"GOAL 16: Peace, Justice and Strong Institutions",79.80%,"governance, law"
Hulamin,GOAL 12: Responsible Consumption and Production,45.60%,
Celcius resources,GOAL 12: Responsible Consumption and Production,87.10%,
Reunert,GOAL 11: Sustainable Cities and Communities,15.40%,
Santova,"GOAL 9: Industry, Innovation and Infrastructure",83.70%,logistics
Invicta,GOAL 12: Responsible Consumption and Production,85.20%,"sustainable, efficiency, recycling"
Deneb,GOAL 2: Zero Hunger,61.30%,
enX Group,GOAL 8: Decent Work and Economic Growth,51.90%,
Raubex,GOAL 12: Responsible Consumption and Production,98.20%,renewable
Barloworld,GOAL 8: Decent Work and Economic Growth,53.60%,
HCI,GOAL 12: Responsible Consumption and Production,95.90%,
Hudaco,GOAL 12: Responsible Consumption and Production,60.00%,
Bell,"GOAL 9: Industry, Innovation and Infrastructure",96.50%,
Murray & Roberts,GOAL 12: Responsible Consumption and Production,45.50%,
Insimbi,GOAL 12: Responsible Consumption and Production,98.50%,
