Company,Predicted SDG Component,Percentage Prediction,Keywords
PPC,GOAL 12: Responsible Consumption and Production,87.4%,"sustainable, efficiency"
Kore Potash PLC,GOAL 12: Responsible Consumption and Production,76.4%,
ArcelorMittal,GOAL 7: Affordable and Clean Energy,53.9%,"sustainable, solar"
Kumba Iron Ore,GOAL 12: Responsible Consumption and Production,96.1%,
BHP,GOAL 7: Affordable and Clean Energy,98.3%,"sustainable, conservation"
AngloGold Ashanti,GOAL 12: Responsible Consumption and Production,77.1%,"renewable, efficiency, sustainable"
Wesizwe,GOAL 15: Life on Land,93.6%,
Implats,GOAL 11: Sustainable Cities and Communities,15.4%,
Gemfields,GOAL 8: Decent Work and Economic Growth,79.3%,
Pan-African Resources,GOAL 8: Decent Work and Economic Growth,54.5%,
Sibanye Stillwater,GOAL 13: Climate Action,43.2%,policy
DRDGold,GOAL 8: Decent Work and Economic Growth,70.0%,
AngloAmerican,GOAL 8: Decent Work and Economic Growth,45.3%,"wages, innovation"
Jubilee Metals Group,GOAL 12: Responsible Consumption and Production,98.0%,sustainable
South32,GOAL 12: Responsible Consumption and Production,90.4%,
orion Minerals,GOAL 12: Responsible Consumption and Production,88.4%,
Goldfields,GOAL 12: Responsible Consumption and Production,91.9%,
Sabvest Capital Limited,GOAL 12: Responsible Consumption and Production,59.6%,sustainable
Northam,GOAL 11: Sustainable Cities and Communities,15.4%,
ARM-,GOAL 12: Responsible Consumption and Production,75.8%,
Andrada,GOAL 8: Decent Work and Economic Growth,44.1%,
Brikor,GOAL 12: Responsible Consumption and Production,90.1%,
SEAM,GOAL 11: Sustainable Cities and Communities,15.4%,
Mondi,"GOAL 9: Industry, Innovation and Infrastructure",41.6%,technology
B2Gold-,GOAL 5: Gender Equality,99.6%,women
AECI,GOAL 12: Responsible Consumption and Production,85.9%,sustainable
Argent Industrial Limited,GOAL 5: Gender Equality,72.2%,equity
Afrimat-,"GOAL 16: Peace, Justice and Strong Institutions",44.3%,governance
Randgold-Exploration-Company-Ltd-,GOAL 12: Responsible Consumption and Production,89.2%,
York Timbers,GOAL 12: Responsible Consumption and Production,82.2%,
Harmony,GOAL 12: Responsible Consumption and Production,91.5%,"sustainable, efficiency, renewable"
Glencore,GOAL 7: Affordable and Clean Energy,94.1%,
Sasol,GOAL 12: Responsible Consumption and Production,39.2%,"sustainable, renewable, efficiency"
Salungano Group,GOAL 12: Responsible Consumption and Production,88.6%,renewable
Merafe Resources,GOAL 8: Decent Work and Economic Growth,67.5%,employment
