Company,Predicted SDG Component,Percentage Prediction,Keywords
Multichoice,GOAL 12: Responsible Consumption and Production,96.2%,
eMedia,GOAL 11: Sustainable Cities and Communities,15.4%,
Vodacom,GOAL 12: Responsible Consumption and Production,95.5%,sustainable
Blue Label,GOAL 8: Decent Work and Economic Growth,46.9%,
AME,"GOAL 9: Industry, Innovation and Infrastructure",56.4%,
Paratus,GOAL 8: Decent Work and Economic Growth,41.2%,innovation
Prosus,GOAL 12: Responsible Consumption and Production,87.5%,
Mr-Price-,GOAL 12: Responsible Consumption and Production,46.7%,
Huge Group,GOAL 12: Responsible Consumption and Production,94.5%,
Naspers,GOAL 8: Decent Work and Economic Growth,38.0%,
Caxton & CTP,GOAL 12: Responsible Consumption and Production,98.9%,"packaging, sustainable"
