Company,Predicted SDG Component,Percentage Prediction,Keywords
AH-Vest-Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
Crookes Brothers,GOAL 14: Life Below Water,42.2%,
Quantum Foods,GOAL 12: Responsible Consumption and Production,82.3%,efficiency
Choppies,GOAL 8: Decent Work and Economic Growth,74.8%,employment
Brimstone,GOAL 11: Sustainable Cities and Communities,15.4%,
AVI,"GOAL 9: Industry, Innovation and Infrastructure",79.3%,research
Libstar,GOAL 11: Sustainable Cities and Communities,15.4%,
Astral,GOAL 2: Zero Hunger,95.0%,"plant, sustainability, agriculture"
ABInBev,GOAL 12: Responsible Consumption and Production,98.2%,sustainable
Sea Harvest Group,GOAL 14: Life Below Water,99.3%,
ADvTech,GOAL 12: Responsible Consumption and Production,45.1%,sustainable
BAT,GOAL 12: Responsible Consumption and Production,88.7%,"sustainable, packaging"
Oceana Group,GOAL 12: Responsible Consumption and Production,61.7%,"sustainable, efficiency"
Curro,GOAL 12: Responsible Consumption and Production,70.7%,sustainable
RCL Foods,GOAL 8: Decent Work and Economic Growth,77.3%,
