Company,Predicted SDG Component,Percentage Prediction,Keywords
Metair,GOAL 11: Sustainable Cities and Communities,34.3%,
Novus-Holdings-,GOAL 8: Decent Work and Economic Growth,41.4%,
Mpact,GOAL 12: Responsible Consumption and Production,95.7%,"packaging, recycling, sustainable"
Woolworths,GOAL 15: Life on Land,46.5%,habitat
Rex Trueform,"GOAL 9: Industry, Innovation and Infrastructure",36.9%,logistics
City Lodge Hotels,GOAL 12: Responsible Consumption and Production,98.6%,sustainable
Lewis_IAR_,GOAL 5: Gender Equality,80.2%,
Shoprite,GOAL 12: Responsible Consumption and Production,98.1%,"sustainable, renewable"
Richemont,GOAL 5: Gender Equality,40.0%,
Nampak,GOAL 12: Responsible Consumption and Production,69.5%,
Grindrod,"GOAL 16: Peace, Justice and Strong Institutions",97.7%,"corruption, governance, fairness, transparency, accountability"
KAL Group,"GOAL 9: Industry, Innovation and Infrastructure",99.4%,broadband
Nictus Holdings,GOAL 12: Responsible Consumption and Production,79.8%,
Homechoice,GOAL 11: Sustainable Cities and Communities,15.4%,
Pick n Pay,GOAL 8: Decent Work and Economic Growth,67.6%,
Cashbuild,GOAL 12: Responsible Consumption and Production,96.3%,sustainable
Famous Brands,GOAL 8: Decent Work and Economic Growth,29.7%,"employment, innovation, prosperity"
Pepkor,GOAL 11: Sustainable Cities and Communities,15.4%,
CMH Group,GOAL 11: Sustainable Cities and Communities,90.6%,
AOE,GOAL 12: Responsible Consumption and Production,40.7%,
Motus,GOAL 12: Responsible Consumption and Production,96.5%,
Namibia Breweries Limited,GOAL 12: Responsible Consumption and Production,80.7%,"sustainable, packaging"
Nictus,GOAL 12: Responsible Consumption and Production,86.3%,"efficiency, sustainable"
Bidcorp,GOAL 12: Responsible Consumption and Production,77.2%,
Italtile,GOAL 12: Responsible Consumption and Production,51.0%,"recycling, efficiency"
