Company,Predicted SDG Component,Percentage Prediction,Keywords
Capital & Regional,"GOAL 9: Industry, Innovation and Infrastructure",52.6%,
Oryx,GOAL 8: Decent Work and Economic Growth,58.3%,
NEPI Rockcastle,GOAL 12: Responsible Consumption and Production,90.9%,sustainable
Tradehold,GOAL 8: Decent Work and Economic Growth,46.9%,
Sirius Real Estate Limited,GOAL 12: Responsible Consumption and Production,43.0%,sustainable
Balwin Properties,GOAL 12: Responsible Consumption and Production,96.6%,sustainable
PHP,GOAL 8: Decent Work and Economic Growth,72.5%,employment
Fairvest,GOAL 12: Responsible Consumption and Production,96.2%,"renewable, sustainable"
MAS PLC,GOAL 4: Quality Education,25.3%,
Growthpoint,"GOAL 9: Industry, Innovation and Infrastructure",72.8%,
Heriot,GOAL 12: Responsible Consumption and Production,61.1%,
Putprop,GOAL 12: Responsible Consumption and Production,91.9%,sustainable
Dipula,GOAL 8: Decent Work and Economic Growth,66.3%,
Oasis,GOAL 12: Responsible Consumption and Production,78.3%,
Redefine Properties,GOAL 11: Sustainable Cities and Communities,15.4%,
Visual,GOAL 11: Sustainable Cities and Communities,53.9%,
Vukile,GOAL 12: Responsible Consumption and Production,85.8%,"sustainable, efficiency"
Octodec,GOAL 12: Responsible Consumption and Production,51.7%,"sustainable, efficiency"
GTC,GOAL 11: Sustainable Cities and Communities,15.4%,
Lighthouse Properties,GOAL 12: Responsible Consumption and Production,92.9%,
Exemplar,GOAL 12: Responsible Consumption and Production,90.4%,
SA Corporate Real Estate,GOAL 8: Decent Work and Economic Growth,79.5%,
DKR,GOAL 7: Affordable and Clean Energy,58.6%,
Shaftesbury Capital,GOAL 12: Responsible Consumption and Production,67.8%,
Hammerson,GOAL 12: Responsible Consumption and Production,98.6%,sustainable
Equites,GOAL 8: Decent Work and Economic Growth,59.7%,
Emira,GOAL 7: Affordable and Clean Energy,90.5%,
Calgro M3,GOAL 12: Responsible Consumption and Production,87.4%,
Accelerate,GOAL 12: Responsible Consumption and Production,42.7%,
Acsion,GOAL 8: Decent Work and Economic Growth,49.1%,
Hyprop,GOAL 12: Responsible Consumption and Production,79.7%,
Fortress,"GOAL 9: Industry, Innovation and Infrastructure",97.1%,
Attacq,GOAL 12: Responsible Consumption and Production,98.3%,sustainable
